Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Macaque gene stable ID,Macaque gene name,Last common ancestor with Macaque,Macaque homology type,%id. target Macaque gene identical to query gene,%id. query gene identical to target Macaque gene,Macaque Gene-order conservation score,Macaque Whole-genome alignment coverage,"Macaque orthology confidence [0 low, 1 high]"
ENSG00000004838,ENSG00000004838.14,ENST00000490675,ENST00000490675.5,ENSMMUG00000007006,ZMYND10,Catarrhini,ortholog_one2one,98.1818,98.1818,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000231749,ENST00000231749.8,ENSMMUG00000007006,ZMYND10,Catarrhini,ortholog_one2one,98.1818,98.1818,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000360165,ENST00000360165.7,ENSMMUG00000007006,ZMYND10,Catarrhini,ortholog_one2one,98.1818,98.1818,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000475688,ENST00000475688.1,ENSMMUG00000007006,ZMYND10,Catarrhini,ortholog_one2one,98.1818,98.1818,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000442887,ENST00000442887.1,ENSMMUG00000007006,ZMYND10,Catarrhini,ortholog_one2one,98.1818,98.1818,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000443080,ENST00000443080.5,ENSMMUG00000007006,ZMYND10,Catarrhini,ortholog_one2one,98.1818,98.1818,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000478269,ENST00000478269.5,ENSMMUG00000007006,ZMYND10,Catarrhini,ortholog_one2one,98.1818,98.1818,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000431869,ENST00000431869.1,ENSMMUG00000007006,ZMYND10,Catarrhini,ortholog_one2one,98.1818,98.1818,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000468182,ENST00000468182.1,ENSMMUG00000007006,ZMYND10,Catarrhini,ortholog_one2one,98.1818,98.1818,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579828,ENST00000579828.5,ENSMMUG00000018539,DNAH9,Catarrhini,ortholog_one2one,96.5671,96.5671,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000262442,ENST00000262442.9,ENSMMUG00000018539,DNAH9,Catarrhini,ortholog_one2one,96.5671,96.5671,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579406,ENST00000579406.1,ENSMMUG00000018539,DNAH9,Catarrhini,ortholog_one2one,96.5671,96.5671,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000454412,ENST00000454412.6,ENSMMUG00000018539,DNAH9,Catarrhini,ortholog_one2one,96.5671,96.5671,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579602,ENST00000579602.1,ENSMMUG00000018539,DNAH9,Catarrhini,ortholog_one2one,96.5671,96.5671,100,100,1
