Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Gibbon gene stable ID,Gibbon gene name,Last common ancestor with Gibbon,Gibbon homology type,%id. target Gibbon gene identical to query gene,%id. query gene identical to target Gibbon gene,Gibbon Gene-order conservation score,Gibbon Whole-genome alignment coverage,"Gibbon orthology confidence [0 low, 1 high]"
ENSG00000004838,ENSG00000004838.14,ENST00000490675,ENST00000490675.5,ENSNLEG00000006996,ZMYND10,Hominoidea,ortholog_one2one,97.9545,97.9545,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000231749,ENST00000231749.8,ENSNLEG00000006996,ZMYND10,Hominoidea,ortholog_one2one,97.9545,97.9545,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000360165,ENST00000360165.7,ENSNLEG00000006996,ZMYND10,Hominoidea,ortholog_one2one,97.9545,97.9545,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000475688,ENST00000475688.1,ENSNLEG00000006996,ZMYND10,Hominoidea,ortholog_one2one,97.9545,97.9545,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000442887,ENST00000442887.1,ENSNLEG00000006996,ZMYND10,Hominoidea,ortholog_one2one,97.9545,97.9545,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000443080,ENST00000443080.5,ENSNLEG00000006996,ZMYND10,Hominoidea,ortholog_one2one,97.9545,97.9545,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000478269,ENST00000478269.5,ENSNLEG00000006996,ZMYND10,Hominoidea,ortholog_one2one,97.9545,97.9545,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000431869,ENST00000431869.1,ENSNLEG00000006996,ZMYND10,Hominoidea,ortholog_one2one,97.9545,97.9545,100,100,1
ENSG00000004838,ENSG00000004838.14,ENST00000468182,ENST00000468182.1,ENSNLEG00000006996,ZMYND10,Hominoidea,ortholog_one2one,97.9545,97.9545,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579828,ENST00000579828.5,ENSNLEG00000029421,DNAH9,Hominoidea,ortholog_one2one,94.2711,95.8305,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000262442,ENST00000262442.9,ENSNLEG00000029421,DNAH9,Hominoidea,ortholog_one2one,94.2711,95.8305,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579406,ENST00000579406.1,ENSNLEG00000029421,DNAH9,Hominoidea,ortholog_one2one,94.2711,95.8305,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000454412,ENST00000454412.6,ENSNLEG00000029421,DNAH9,Hominoidea,ortholog_one2one,94.2711,95.8305,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579602,ENST00000579602.1,ENSNLEG00000029421,DNAH9,Hominoidea,ortholog_one2one,94.2711,95.8305,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579813,ENST00000579813.1,ENSNLEG00000029421,DNAH9,Hominoidea,ortholog_one2one,94.2711,95.8305,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000585197,ENST00000585197.1,ENSNLEG00000029421,DNAH9,Hominoidea,ortholog_one2one,94.2711,95.8305,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000583192,ENST00000583192.1,ENSNLEG00000029421,DNAH9,Hominoidea,ortholog_one2one,94.2711,95.8305,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000584663,ENST00000584663.1,ENSNLEG00000029421,DNAH9,Hominoidea,ortholog_one2one,94.2711,95.8305,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000578834,ENST00000578834.1,ENSNLEG00000029421,DNAH9,Hominoidea,ortholog_one2one,94.2711,95.8305,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000579703,ENST00000579703.1,ENSNLEG00000029421,DNAH9,Hominoidea,ortholog_one2one,94.2711,95.8305,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000580255,ENST00000580255.1,ENSNLEG00000029421,DNAH9,Hominoidea,ortholog_one2one,94.2711,95.8305,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000608377,ENST00000608377.5,ENSNLEG00000029421,DNAH9,Hominoidea,ortholog_one2one,94.2711,95.8305,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000396001,ENST00000396001.6,ENSNLEG00000029421,DNAH9,Hominoidea,ortholog_one2one,94.2711,95.8305,100,100,1
ENSG00000007174,ENSG00000007174.18,ENST00000581682,ENST00000581682.1,ENSNLEG00000029421,DNAH9,Hominoidea,ortholog_one2one,94.2711,95.8305,100,100,1
ENSG00000008710,ENSG00000008710.20,ENST00000262304,ENST00000262304.9,ENSNLEG00000027970,,Gnathostomata,ortholog_one2one,4.462,71.1111,100,57.7,0
ENSG00000008710,ENSG00000008710.20,ENST00000423118,ENST00000423118.5,ENSNLEG00000027970,,Gnathostomata,ortholog_one2one,4.462,71.1111,100,57.7,0
ENSG00000008710,ENSG00000008710.20,ENST00000472577,ENST00000472577.1,ENSNLEG00000027970,,Gnathostomata,ortholog_one2one,4.462,71.1111,100,57.7,0
ENSG00000008710,ENSG00000008710.20,ENST00000564313,ENST00000564313.1,ENSNLEG00000027970,,Gnathostomata,ortholog_one2one,4.462,71.1111,100,57.7,0
ENSG00000008710,ENSG00000008710.20,ENST00000561668,ENST00000561668.5,ENSNLEG00000027970,,Gnathostomata,ortholog_one2one,4.462,71.1111,100,57.7,0
ENSG00000008710,ENSG00000008710.20,ENST00000487932,ENST00000487932.5,ENSNLEG00000027970,,Gnathostomata,ortholog_one2one,4.462,71.1111,100,57.7,0
ENSG00000008710,ENSG00000008710.20,ENST00000485120,ENST00000485120.1,ENSNLEG00000027970,,Gnathostomata,ortholog_one2one,4.462,71.1111,100,57.7,0
